Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;49361;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;49883;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;50411;1,06%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;51144;1,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;51887;1,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;52641;1,45%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;52918;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;53196;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;53475;0,53%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;54314;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;55166;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;56031;1,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;56618;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;57211;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;57811;1,05%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;58758;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;59721;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;60699;1,64%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Bundesmatrikel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17: Lindner, Anhalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
